cluster,complaint_a,complaint_b,cosine_similarity,pearson_correlation,euclidean_distance,above_threshold
chest_pain,seena mein shadeed dard aur pasina aa raha hai,left side chest pain radiation to arm,0.0675,0.0675,5.8759,False
chest_pain,seena mein shadeed dard aur pasina aa raha hai,seena bhaari lag raha hai aur thakan bohat hai,0.6966,0.6966,2.8844,True
chest_pain,seena mein shadeed dard aur pasina aa raha hai,patient ko pehle heart attack ho chuka hai ab chest tightness hai,0.4312,0.4312,4.3072,False
chest_pain,seena mein shadeed dard aur pasina aa raha hai,previous cardiac history aur ab severe chest pain,0.1816,0.1816,5.5522,False
chest_pain,seena mein shadeed dard aur pasina aa raha hai,left chest pain radiating,0.0389,0.039,6.3383,False
chest_pain,seena mein shadeed dard aur pasina aa raha hai,severe chest pain sweating,0.0842,0.0842,5.2296,False
chest_pain,seena mein shadeed dard aur pasina aa raha hai,chest pain radiation,0.0455,0.0456,6.7929,False
chest_pain,seena mein shadeed dard aur pasina aa raha hai,MI history chest pain,0.0888,0.0888,6.0252,False
chest_pain,seena mein shadeed dard aur pasina aa raha hai,chest tightness mild,0.1023,0.1023,6.2384,False
chest_pain,left side chest pain radiation to arm,seena bhaari lag raha hai aur thakan bohat hai,0.0,-0.0013,6.0134,False
chest_pain,left side chest pain radiation to arm,patient ko pehle heart attack ho chuka hai ab chest tightness hai,0.4656,0.4656,4.7008,False
chest_pain,left side chest pain radiation to arm,previous cardiac history aur ab severe chest pain,0.6411,0.6411,4.0694,True
chest_pain,left side chest pain radiation to arm,left chest pain radiating,0.8082,0.8082,3.1391,True
chest_pain,left side chest pain radiation to arm,severe chest pain sweating,0.6332,0.6333,3.8164,True
chest_pain,left side chest pain radiation to arm,chest pain radiation,0.8572,0.8572,3.0121,True
chest_pain,left side chest pain radiation to arm,MI history chest pain,0.65,0.65,4.1218,True
chest_pain,left side chest pain radiation to arm,chest tightness mild,0.4574,0.4574,5.3157,False
chest_pain,seena bhaari lag raha hai aur thakan bohat hai,patient ko pehle heart attack ho chuka hai ab chest tightness hai,0.3916,0.3916,4.4008,False
chest_pain,seena bhaari lag raha hai aur thakan bohat hai,previous cardiac history aur ab severe chest pain,0.1099,0.1098,5.7195,False
chest_pain,seena bhaari lag raha hai aur thakan bohat hai,left chest pain radiating,0.0,-0.0762,6.6178,False
chest_pain,seena bhaari lag raha hai aur thakan bohat hai,severe chest pain sweating,0.0,-0.0243,5.4524,False
chest_pain,seena bhaari lag raha hai aur thakan bohat hai,chest pain radiation,0.0,-0.0679,7.0848,False
chest_pain,seena bhaari lag raha hai aur thakan bohat hai,MI history chest pain,0.0,-0.0068,6.2524,False
chest_pain,seena bhaari lag raha hai aur thakan bohat hai,chest tightness mild,0.0462,0.0462,6.3565,False
chest_pain,patient ko pehle heart attack ho chuka hai ab chest tightness hai,previous cardiac history aur ab severe chest pain,0.6725,0.6725,3.718,True
chest_pain,patient ko pehle heart attack ho chuka hai ab chest tightness hai,left chest pain radiating,0.4677,0.4678,4.9874,False
chest_pain,patient ko pehle heart attack ho chuka hai ab chest tightness hai,severe chest pain sweating,0.6385,0.6385,3.5166,True
chest_pain,patient ko pehle heart attack ho chuka hai ab chest tightness hai,chest pain radiation,0.4593,0.4593,5.4224,False
chest_pain,patient ko pehle heart attack ho chuka hai ab chest tightness hai,MI history chest pain,0.562,0.5621,4.4215,True
chest_pain,patient ko pehle heart attack ho chuka hai ab chest tightness hai,chest tightness mild,0.6714,0.6714,4.0417,True
chest_pain,previous cardiac history aur ab severe chest pain,left chest pain radiating,0.6876,0.6876,4.0029,True
chest_pain,previous cardiac history aur ab severe chest pain,severe chest pain sweating,0.7938,0.7938,2.9384,True
chest_pain,previous cardiac history aur ab severe chest pain,chest pain radiation,0.6563,0.6563,4.5127,True
chest_pain,previous cardiac history aur ab severe chest pain,MI history chest pain,0.8482,0.8482,2.732,True
chest_pain,previous cardiac history aur ab severe chest pain,chest tightness mild,0.5732,0.5732,4.7399,True
chest_pain,left chest pain radiating,severe chest pain sweating,0.7681,0.7681,3.3643,True
chest_pain,left chest pain radiating,chest pain radiation,0.8686,0.8686,2.8962,True
chest_pain,left chest pain radiating,MI history chest pain,0.7523,0.7523,3.6326,True
chest_pain,left chest pain radiating,chest tightness mild,0.5299,0.5299,5.156,True
chest_pain,severe chest pain sweating,chest pain radiation,0.7202,0.7202,4.0533,True
chest_pain,severe chest pain sweating,MI history chest pain,0.8283,0.8283,2.841,True
chest_pain,severe chest pain sweating,chest tightness mild,0.6934,0.6934,3.8833,True
chest_pain,chest pain radiation,MI history chest pain,0.7329,0.7329,4.0446,True
chest_pain,chest pain radiation,chest tightness mild,0.5231,0.5231,5.4895,True
chest_pain,MI history chest pain,chest tightness mild,0.5927,0.5927,4.7179,True
breathing_difficulty,saans phool rahi hai lekin baat kar sakti hai,saans lene mein takleef wheezing ho rahi hai,0.8119,0.8119,2.5354,True
breathing_difficulty,saans phool rahi hai lekin baat kar sakti hai,asthma ka attack aur wheezing,0.2172,0.2172,5.0943,False
breathing_difficulty,saans phool rahi hai lekin baat kar sakti hai,breathlessness aur wheezing severe,0.2521,0.2521,5.2337,False
breathing_difficulty,saans phool rahi hai lekin baat kar sakti hai,shortness of breath severe,0.3769,0.3769,3.8461,False
breathing_difficulty,saans phool rahi hai lekin baat kar sakti hai,asthma exacerbation wheeze,0.0761,0.0761,5.5684,False
breathing_difficulty,saans phool rahi hai lekin baat kar sakti hai,severe breathlessness COPD history,0.2031,0.2032,5.4028,False
breathing_difficulty,saans phool rahi hai lekin baat kar sakti hai,shortness breath mild,0.3863,0.3862,3.9246,False
breathing_difficulty,saans phool rahi hai lekin baat kar sakti hai,severe dyspnea,0.1003,0.1003,5.2358,False
breathing_difficulty,saans phool rahi hai lekin baat kar sakti hai,COPD breathlessness,0.3069,0.307,5.2891,False
breathing_difficulty,saans lene mein takleef wheezing ho rahi hai,asthma ka attack aur wheezing,0.2491,0.2491,5.6243,False
breathing_difficulty,saans lene mein takleef wheezing ho rahi hai,breathlessness aur wheezing severe,0.2759,0.2759,5.7132,False
breathing_difficulty,saans lene mein takleef wheezing ho rahi hai,shortness of breath severe,0.2784,0.2784,4.8799,False
breathing_difficulty,saans lene mein takleef wheezing ho rahi hai,asthma exacerbation wheeze,0.1164,0.1163,6.1924,False
breathing_difficulty,saans lene mein takleef wheezing ho rahi hai,severe breathlessness COPD history,0.1167,0.1167,6.3252,False
breathing_difficulty,saans lene mein takleef wheezing ho rahi hai,shortness breath mild,0.3359,0.3359,4.757,False
breathing_difficulty,saans lene mein takleef wheezing ho rahi hai,severe dyspnea,0.0802,0.0803,6.0817,False
breathing_difficulty,saans lene mein takleef wheezing ho rahi hai,COPD breathlessness,0.2348,0.2349,6.0396,False
breathing_difficulty,asthma ka attack aur wheezing,breathlessness aur wheezing severe,0.7034,0.7034,3.9247,True
breathing_difficulty,asthma ka attack aur wheezing,shortness of breath severe,0.2052,0.2052,5.6626,False
breathing_difficulty,asthma ka attack aur wheezing,asthma exacerbation wheeze,0.8481,0.8481,2.7694,True
breathing_difficulty,asthma ka attack aur wheezing,severe breathlessness COPD history,0.4651,0.4652,5.2901,False
breathing_difficulty,asthma ka attack aur wheezing,shortness breath mild,0.1152,0.1152,6.0428,False
breathing_difficulty,asthma ka attack aur wheezing,severe dyspnea,0.2843,0.2843,5.8183,False
breathing_difficulty,asthma ka attack aur wheezing,COPD breathlessness,0.5158,0.5158,5.1391,True
breathing_difficulty,breathlessness aur wheezing severe,shortness of breath severe,0.4223,0.4223,5.0417,False
breathing_difficulty,breathlessness aur wheezing severe,asthma exacerbation wheeze,0.619,0.619,4.4999,True
breathing_difficulty,breathlessness aur wheezing severe,severe breathlessness COPD history,0.7471,0.7472,3.7284,True
breathing_difficulty,breathlessness aur wheezing severe,shortness breath mild,0.287,0.287,5.6281,False
breathing_difficulty,breathlessness aur wheezing severe,severe dyspnea,0.5554,0.5554,4.7276,True
breathing_difficulty,breathlessness aur wheezing severe,COPD breathlessness,0.8619,0.8619,2.8146,True
breathing_difficulty,shortness of breath severe,asthma exacerbation wheeze,0.147,0.147,5.9615,False
breathing_difficulty,shortness of breath severe,severe breathlessness COPD history,0.3528,0.3528,5.3508,False
breathing_difficulty,shortness of breath severe,shortness breath mild,0.8287,0.8287,2.3524,True
breathing_difficulty,shortness of breath severe,severe dyspnea,0.4371,0.4371,4.6773,False
breathing_difficulty,shortness of breath severe,COPD breathlessness,0.4241,0.4241,5.2026,False
breathing_difficulty,asthma exacerbation wheeze,severe breathlessness COPD history,0.4488,0.4489,5.4363,False
breathing_difficulty,asthma exacerbation wheeze,shortness breath mild,0.0868,0.0867,6.2392,False
breathing_difficulty,asthma exacerbation wheeze,severe dyspnea,0.2466,0.2466,6.0557,False
breathing_difficulty,asthma exacerbation wheeze,COPD breathlessness,0.4753,0.4754,5.4083,False
breathing_difficulty,severe breathlessness COPD history,shortness breath mild,0.2186,0.2186,5.9147,False
breathing_difficulty,severe breathlessness COPD history,severe dyspnea,0.4824,0.4824,5.1234,False
breathing_difficulty,severe breathlessness COPD history,COPD breathlessness,0.8144,0.8144,3.2704,True
breathing_difficulty,shortness breath mild,severe dyspnea,0.2273,0.2273,5.5295,False
breathing_difficulty,shortness breath mild,COPD breathlessness,0.3415,0.3415,5.5863,False
breathing_difficulty,severe dyspnea,COPD breathlessness,0.5533,0.5533,4.8706,True
unconsciousness,behosh ho gayi thi ab hosh mein hai kamzori hai,behoshi aur BP bohat high,0.6716,0.6716,2.826,True
unconsciousness,behosh ho gayi thi ab hosh mein hai kamzori hai,unconscious episode ab confusion,0.7132,0.7132,2.6345,True
unconsciousness,behosh ho gayi thi ab hosh mein hai kamzori hai,collapse aur unconscious,0.6339,0.6339,3.106,True
unconsciousness,behosh ho gayi thi ab hosh mein hai kamzori hai,unconscious collapse,0.5356,0.5357,3.7961,True
unconsciousness,behosh ho gayi thi ab hosh mein hai kamzori hai,behoshi aur hosh kam,0.8769,0.8769,1.8074,True
unconsciousness,behosh ho gayi thi ab hosh mein hai kamzori hai,achanak behoshi,0.8065,0.8065,2.1886,True
unconsciousness,behosh ho gayi thi ab hosh mein hai kamzori hai,gir kar behosh,0.8069,0.8069,2.1468,True
unconsciousness,behosh ho gayi thi ab hosh mein hai kamzori hai,collapse unconscious,0.5921,0.5921,3.4315,True
unconsciousness,behosh ho gayi thi ab hosh mein hai kamzori hai,collapse,0.2149,0.2149,6.5055,False
unconsciousness,behoshi aur BP bohat high,unconscious episode ab confusion,0.6422,0.6422,2.7787,True
unconsciousness,behoshi aur BP bohat high,collapse aur unconscious,0.6163,0.6163,3.0491,True
unconsciousness,behoshi aur BP bohat high,unconscious collapse,0.425,0.425,4.0815,False
unconsciousness,behoshi aur BP bohat high,behoshi aur hosh kam,0.7957,0.7958,2.2475,True
unconsciousness,behoshi aur BP bohat high,achanak behoshi,0.7661,0.7661,2.2757,True
unconsciousness,behoshi aur BP bohat high,gir kar behosh,0.7537,0.7537,2.2015,True
unconsciousness,behoshi aur BP bohat high,collapse unconscious,0.4977,0.4977,3.6719,False
unconsciousness,behoshi aur BP bohat high,collapse,0.1242,0.1242,6.6824,False
unconsciousness,unconscious episode ab confusion,collapse aur unconscious,0.7234,0.7234,2.5856,True
unconsciousness,unconscious episode ab confusion,unconscious collapse,0.6343,0.6343,3.2912,True
unconsciousness,unconscious episode ab confusion,behoshi aur hosh kam,0.7892,0.7892,2.2761,True
unconsciousness,unconscious episode ab confusion,achanak behoshi,0.8276,0.8276,1.9443,True
unconsciousness,unconscious episode ab confusion,gir kar behosh,0.7892,0.7892,2.0255,True
unconsciousness,unconscious episode ab confusion,collapse unconscious,0.6881,0.6881,2.913,True
unconsciousness,unconscious episode ab confusion,collapse,0.2955,0.2955,6.1235,False
unconsciousness,collapse aur unconscious,unconscious collapse,0.9143,0.9143,1.7058,True
unconsciousness,collapse aur unconscious,behoshi aur hosh kam,0.7575,0.7575,2.5354,True
unconsciousness,collapse aur unconscious,achanak behoshi,0.7827,0.7827,2.3145,True
unconsciousness,collapse aur unconscious,gir kar behosh,0.7805,0.7805,2.2677,True
unconsciousness,collapse aur unconscious,collapse unconscious,0.9457,0.9457,1.2855,True
unconsciousness,collapse aur unconscious,collapse,0.645,0.645,4.7803,True
unconsciousness,unconscious collapse,behoshi aur hosh kam,0.5988,0.5988,3.5412,True
