row_id,partition
cardiac-00000,train
cardiac-00001,test
cardiac-00002,test
cardiac-00003,train
cardiac-00004,train
cardiac-00005,train
cardiac-00006,train
cardiac-00007,train
cardiac-00008,train
cardiac-00009,train
cardiac-00010,train
cardiac-00011,test
cardiac-00012,test
cardiac-00013,train
cardiac-00014,train
cardiac-00015,train
cardiac-00016,test
cardiac-00017,train
cardiac-00018,train
cardiac-00019,train
cardiac-00020,train
cardiac-00021,test
cardiac-00022,train
cardiac-00023,test
cardiac-00024,train
cardiac-00025,train
cardiac-00026,train
cardiac-00027,train
cardiac-00028,train
cardiac-00029,train
cardiac-00030,train
cardiac-00031,train
cardiac-00032,train
cardiac-00033,train
cardiac-00034,train
cardiac-00035,train
cardiac-00036,train
cardiac-00037,train
cardiac-00038,train
cardiac-00039,train
cardiac-00040,train
cardiac-00041,train
cardiac-00042,train
cardiac-00043,train
cardiac-00044,train
cardiac-00045,train
cardiac-00046,train
cardiac-00047,train
cardiac-00048,train
cardiac-00049,train
cardiac-00050,test
cardiac-00051,test
cardiac-00052,train
cardiac-00053,train
cardiac-00054,test
cardiac-00055,train
cardiac-00056,train
cardiac-00057,train
cardiac-00058,train
cardiac-00059,train
cardiac-00060,train
cardiac-00061,test
cardiac-00062,train
cardiac-00063,train
cardiac-00064,train
cardiac-00065,train
cardiac-00066,train
cardiac-00067,train
cardiac-00068,train
cardiac-00069,train
cardiac-00070,train
cardiac-00071,test
cardiac-00072,train
cardiac-00073,train
cardiac-00074,train
cardiac-00075,train
cardiac-00076,train
cardiac-00077,train
cardiac-00078,train
cardiac-00079,train
cardiac-00080,test
cardiac-00081,test
cardiac-00082,train
cardiac-00083,train
cardiac-00084,train
cardiac-00085,test
cardiac-00086,train
cardiac-00087,train
cardiac-00088,train
cardiac-00089,train
cardiac-00090,train
cardiac-00091,train
cardiac-00092,train
cardiac-00093,train
cardiac-00094,train
cardiac-00095,train
cardiac-00096,train
cardiac-00097,train
cardiac-00098,test
cardiac-00099,train
cardiac-00100,train
cardiac-00101,train
cardiac-00102,test
cardiac-00103,test
cardiac-00104,train
cardiac-00105,test
cardiac-00106,train
cardiac-00107,test
cardiac-00108,train
cardiac-00109,train
cardiac-00110,test
cardiac-00111,test
cardiac-00112,train
cardiac-00113,test
cardiac-00114,train
cardiac-00115,train
cardiac-00116,train
cardiac-00117,train
cardiac-00118,test
cardiac-00119,train
cardiac-00120,test
cardiac-00121,train
cardiac-00122,train
cardiac-00123,test
cardiac-00124,test
cardiac-00125,test
cardiac-00126,train
cardiac-00127,test
cardiac-00128,train
cardiac-00129,test
cardiac-00130,train
cardiac-00131,train
cardiac-00132,train
cardiac-00133,train
cardiac-00134,train
cardiac-00135,test
cardiac-00136,train
cardiac-00137,test
cardiac-00138,train
cardiac-00139,train
cardiac-00140,test
cardiac-00141,train
cardiac-00142,train
cardiac-00143,train
cardiac-00144,test
cardiac-00145,test
cardiac-00146,train
cardiac-00147,test
cardiac-00148,train
cardiac-00149,train
cardiac-00150,train
cardiac-00151,train
cardiac-00152,train
cardiac-00153,train
cardiac-00154,test
cardiac-00155,train
cardiac-00156,train
cardiac-00157,train
cardiac-00158,test
cardiac-00159,train
cardiac-00160,train
cardiac-00161,train
cardiac-00162,train
cardiac-00163,test
cardiac-00164,train
cardiac-00165,test
cardiac-00166,train
cardiac-00167,train
cardiac-00168,train
cardiac-00169,test
cardiac-00170,test
cardiac-00171,train
cardiac-00172,test
cardiac-00173,test
cardiac-00174,train
cardiac-00175,train
cardiac-00176,train
cardiac-00177,train
cardiac-00178,train
cardiac-00179,train
cardiac-00180,test
cardiac-00181,train
cardiac-00182,test
cardiac-00183,train
cardiac-00184,test
cardiac-00185,train
cardiac-00186,train
cardiac-00187,train
cardiac-00188,train
cardiac-00189,train
cardiac-00190,test
cardiac-00191,train
cardiac-00192,train
cardiac-00193,test
cardiac-00194,test
cardiac-00195,train
cardiac-00196,train
cardiac-00197,train
cardiac-00198,test
cardiac-00199,train
cardiac-00200,test
cardiac-00201,train
cardiac-00202,train
cardiac-00203,train
cardiac-00204,train
cardiac-00205,train
cardiac-00206,train
cardiac-00207,test
cardiac-00208,train
cardiac-00209,train
cardiac-00210,train
cardiac-00211,train
cardiac-00212,train
cardiac-00213,train
cardiac-00214,train
