complaint,true_cluster,nearest_neighbour,neighbour_cluster,similarity,same_meaning,open_pool_neighbour,open_pool_same_meaning
seena mein shadeed dard aur pasina aa raha hai,chest_pain,saans lene mein takleef wheezing ho rahi hai,breathing_difficulty,0.9401,False,seena mein shdeed dard aur pasina aa raha hai,False
left side chest pain radiation to arm,chest_pain,chest pain radiation,chest_pain,0.8572,True,chest pain radiation to jaw aur neck,False
seena bhaari lag raha hai aur thakan bohat hai,chest_pain,ulta raha hai subah se pait kharab hai,vomiting_diarrhea,0.7419,False,seena bhaari aur thakan bohat zyada hai,False
patient ko pehle heart attack ho chuka hai ab chest tightness hai,chest_pain,heat exhaustion chakkar aur weakness,dizziness_weakness,0.7392,False,patient ko heart attack ka dour para tha ghar par,False
previous cardiac history aur ab severe chest pain,chest_pain,MI history chest pain,chest_pain,0.8482,True,MI history chest pain,True
left chest pain radiating,chest_pain,chest pain radiation,chest_pain,0.8686,True,chest pain radiation,True
severe chest pain sweating,chest_pain,MI history chest pain,chest_pain,0.8283,True,chest pain severe,False
chest pain radiation,chest_pain,left chest pain radiating,chest_pain,0.8686,True,chest pain radiation to jaw aur neck,False
MI history chest pain,chest_pain,previous cardiac history aur ab severe chest pain,chest_pain,0.8482,True,MI chest pain,False
chest tightness mild,chest_pain,severe chest pain sweating,chest_pain,0.6934,True,chest tightness,False
saans phool rahi hai lekin baat kar sakti hai,breathing_difficulty,haath mein gehri chot aur khoon,bleeding_wound,0.8458,False,nikki si saans pe bhi saans toot rahi hai aur khansi,False
saans lene mein takleef wheezing ho rahi hai,breathing_difficulty,seena mein shadeed dard aur pasina aa raha hai,chest_pain,0.9401,False,seena mein dabao aur behoshi jaisa ehsaas ho raha hai,False
asthma ka attack aur wheezing,breathing_difficulty,asthma exacerbation wheeze,breathing_difficulty,0.8481,True,asthma wheezing,False
breathlessness aur wheezing severe,breathing_difficulty,COPD breathlessness,breathing_difficulty,0.8619,True,severe breathlessness,False
shortness of breath severe,breathing_difficulty,shortness breath mild,breathing_difficulty,0.8287,True,shortness severe,False
asthma exacerbation wheeze,breathing_difficulty,asthma ka attack aur wheezing,breathing_difficulty,0.8481,True,asthma wheezing,False
severe breathlessness COPD history,breathing_difficulty,COPD breathlessness,breathing_difficulty,0.8144,True,COPD breathlessness,True
shortness breath mild,breathing_difficulty,shortness of breath severe,breathing_difficulty,0.8287,True,shortness,False
severe dyspnea,breathing_difficulty,severe chest pain sweating,chest_pain,0.5946,False,dyspnea severe,False
COPD breathlessness,breathing_difficulty,breathlessness aur wheezing severe,breathing_difficulty,0.8619,True,severe breathlessness,False
behosh ho gayi thi ab hosh mein hai kamzori hai,unconsciousness,behoshi aur hosh kam,unconsciousness,0.8769,True,behoshi ho gayi subah nahaate waqt,False
behoshi aur BP bohat high,unconsciousness,behoshi aur hosh kam,unconsciousness,0.7957,True,dil ki dhadkan tez hai BP high hai,False
unconscious episode ab confusion,unconsciousness,achanak behoshi,unconsciousness,0.8276,True,achanak behoshi,True
